admin,admin,admin,kk,haree
staff,user1,user1,user1,user1
staff,nirattasaiii,nirattasai1,kk,haree
staff,a,a,a,a
staff,b,b,a,a
staff,c,c,c,c
staff,d,d,d,d
staff,e,e,e,e
staff,asdsadasd,a,asdasdsadq,asdsadsad
staff,asdasdsad,1234,asdsad,asdsad
staff,asdasd,zxc,asdasd,asdasdsa
staff,asd,asd,a,a
staff,nirattasai,nirattasai1,xx,haree
staff,zxcxzcxzc,asd,asdasdasd,asdasdasd
staff,zxc,zxc,asdsad,asdasd
resident,pp,pp,pp,ppnaja
staff,qweqwe,qwe,asdasd,adasd
staff,xxx,xxx,xxx,xxx
resident,bank,bank,thanakrit,kiatkajornpaiboon
resident,k,x,nirattasai,haree
